Data type,Cancer group/site,Year,Sex,Age group (years),Count,"Age-specific rate (per 100,000)","Age-standardised rate 2001 Australian Standard Population (per 100,000)","Age-standardised rate 2023 Australian population  (per 100,000)","Age-standardised rate  (WHO) (per 100,000)","Age-standardised rate  (Segi) (per 100,000)",Column L,ICD10 codes,Age group code
Actual,Melanoma of the skin,1973,Males,15–19,2,0.3,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1973,Males,20–24,8,1.4,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1973,Males,25–29,9,1.6,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1973,Males,30–34,11,2.4,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1973,Males,35–39,8,2,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1973,Males,40–44,16,4,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1973,Males,45–49,22,5.3,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1973,Males,50–54,21,5.7,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1973,Males,55–59,28,9.1,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1973,Males,60–64,26,9.8,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1973,Males,65–69,24,12,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1973,Males,70–74,17,12.4,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1973,Males,75–79,17,21.9,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1973,Males,80–84,7,15.7,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1973,Males,85–89,3,17,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1973,Males,90+,2,41.3,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1973,Males,All ages combined,221,3.3,4.5,5.4,3.5,3.2,NULL,C43,20
Actual,Melanoma of the skin,1973,Persons,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1973,Persons,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1973,Persons,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1973,Persons,15–19,6,0.5,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1973,Persons,20–24,11,1,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1973,Persons,25–29,13,1.2,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1973,Persons,30–34,19,2.2,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1973,Persons,35–39,13,1.7,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1973,Persons,40–44,28,3.6,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1973,Persons,45–49,41,5.1,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1973,Persons,50–54,43,5.9,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1973,Persons,55–59,38,6.1,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1973,Persons,60–64,45,8.2,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1973,Persons,65–69,42,9.9,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1973,Persons,70–74,31,9.8,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1973,Persons,75–79,26,12.6,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1973,Persons,80–84,13,10.2,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1973,Persons,85–89,5,9.1,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1973,Persons,90+,2,11,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1973,Persons,All ages combined,376,2.8,3.5,4,2.8,2.6,NULL,C43,20
Actual,Melanoma of the skin,1974,Females,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1974,Females,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1974,Females,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1974,Females,15–19,0,0,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1974,Females,20–24,1,0.2,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1974,Females,25–29,6,1.1,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1974,Females,30–34,4,0.9,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1974,Females,35–39,9,2.3,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1974,Females,40–44,13,3.5,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1974,Females,45–49,17,4.4,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1974,Females,50–54,17,4.5,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1974,Females,55–59,19,6,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1974,Females,60–64,13,4.4,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1974,Females,65–69,23,9.9,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1974,Females,70–74,16,8.7,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1974,Females,75–79,9,7,NULL,NULL,NULL,NULL,NULL,C43,16
