state,year,sex,cases
New South Wales,2011,Males,2398.0
Victoria,2011,Males,1172.0
Queensland,2011,Males,1925.0
Western Australia,2011,Males,667.0
South Australia,2011,Males,404.0
Tasmania,2011,Males,132.0
Australian Capital Territory,2011,Males,76.0
Northern Territory,2011,Males,33.0
New South Wales,2011,Persons,4014.0
Victoria,2011,Persons,2072.0
Queensland,2011,Persons,3306.0
Western Australia,2011,Persons,1116.0
South Australia,2011,Persons,694.0
Tasmania,2011,Persons,261.0
Australian Capital Territory,2011,Persons,124.0
Northern Territory,2011,Persons,55.0
New South Wales,2012,Females,1699.0
Victoria,2012,Females,987.0
Queensland,2012,Females,1428.0
Western Australia,2012,Females,453.0
South Australia,2012,Females,305.0
Tasmania,2012,Females,109.0
Australian Capital Territory,2012,Females,54.0
Northern Territory,2012,Females,23.0
New South Wales,2012,Males,2489.0
Victoria,2012,Males,1291.0
Queensland,2012,Males,2017.0
Western Australia,2012,Males,696.0
South Australia,2012,Males,394.0
Tasmania,2012,Males,146.0
Australian Capital Territory,2012,Males,79.0
Northern Territory,2012,Males,37.0
New South Wales,2012,Persons,4188.0
Victoria,2012,Persons,2278.0
Queensland,2012,Persons,3445.0
Western Australia,2012,Persons,1149.0
South Australia,2012,Persons,699.0
Tasmania,2012,Persons,255.0
Australian Capital Territory,2012,Persons,132.0
Northern Territory,2012,Persons,60.0
New South Wales,2013,Females,1767.0
Victoria,2013,Females,1000.0
Queensland,2013,Females,1528.0
Western Australia,2013,Females,535.0
South Australia,2013,Females,286.0
Tasmania,2013,Females,136.0
Australian Capital Territory,2013,Females,54.0
Northern Territory,2013,Females,24.0
New South Wales,2013,Males,2540.0
Victoria,2013,Males,1329.0
Queensland,2013,Males,2168.0
Western Australia,2013,Males,785.0
South Australia,2013,Males,438.0
Tasmania,2013,Males,138.0
Australian Capital Territory,2013,Males,81.0
Northern Territory,2013,Males,39.0
New South Wales,2013,Persons,4307.0
Victoria,2013,Persons,2329.0
Queensland,2013,Persons,3696.0
Western Australia,2013,Persons,1320.0
South Australia,2013,Persons,724.0
Tasmania,2013,Persons,274.0
Australian Capital Territory,2013,Persons,135.0
Northern Territory,2013,Persons,63.0
New South Wales,2014,Females,1797.0
Victoria,2014,Females,1064.0
Queensland,2014,Females,1505.0
Western Australia,2014,Females,532.0
South Australia,2014,Females,313.0
Tasmania,2014,Females,169.0
Australian Capital Territory,2014,Females,63.0
Northern Territory,2014,Females,25.0
