Data type,Cancer group/site,Year,Sex,State or Territory,Count,"Age-standardised rate 2001 Australian Standard Population  (per 100,000)","Age-standardised rate 2023 Australian population  (per 100,000)",Column I,ICD-10 codes,Column K,Column L
Incidence,Melanoma of the skin,1990,Persons,Australia,5838,37.7,43,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1991,Females,New South Wales,959,33.2,36.9,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1991,Females,Victoria,571,26.5,29.6,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1991,Females,Queensland,644,46.5,51.3,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1991,Females,Western Australia,268,36.9,41.2,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1991,Females,South Australia,225,30.7,34.5,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1991,Females,Tasmania,68,31.4,33.8,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1991,Females,Australian Capital Territory,38,32.6,35.4,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1991,Females,Northern Territory,10,18.2,20.4,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1991,Females,Australia,2782,33.6,37.3,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1991,Males,New South Wales,1151,44.9,53,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1991,Males,Victoria,558,28.8,33.3,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1991,Males,Queensland,771,60.5,70,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1991,Males,Western Australia,336,51.1,59.5,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1991,Males,South Australia,235,38.6,46,NULL,C43,NULL,NULL
